Cronobacter_sakazakii	GCA_001971185.1_ASM197118v1_genomic
Cronobacter_sakazakii	GCA_001971245.1_ASM197124v1_genomic
Cronobacter_sakazakii	GCA_001971255.1_ASM197125v1_genomic
Cronobacter_sakazakii	GCA_001971285.1_ASM197128v1_genomic
Cronobacter_sakazakii	GCA_001971295.1_ASM197129v1_genomic
Cronobacter_sakazakii	GCA_001971325.1_ASM197132v1_genomic
Enterococcus_cecorum	GCA_001318175.1_ASM131817v1_genomic
Enterococcus_cecorum	GCA_001318225.1_ASM131822v1_genomic
Enterococcus_cecorum	GCA_001318265.1_ASM131826v1_genomic
Enterococcus_cecorum	GCA_001318325.1_ASM131832v1_genomic
Enterococcus_cecorum	GCA_001318365.1_ASM131836v1_genomic
Enterococcus_faecalis	GCA_001913975.1_ASM191397v1_genomic
Enterococcus_faecalis	GCA_001913995.1_ASM191399v1_genomic
Enterococcus_faecium	GCA_001005615.1_ASM100561v1_genomic
Escherichia_coli	GCA_000178775.1_ASM17877v1_genomic
Escherichia_coli	GCA_000219155.2_Ecoli_H112180541_1.0_genomic
Escherichia_coli	GCA_000221905.2_E.coli_0104_H4_IonTorrent_1.0_genomic
Escherichia_coli	GCA_000222525.2_ASM22252v2_genomic
Escherichia_coli	GCA_000499625.1_NDM_ass1_genomic
Escherichia_coli	GCA_000742495.1_E_coli_k1_913_genomic
Escherichia_coli	GCA_000742515.1_E.coli_k1_904_genomic
Escherichia_coli	GCA_000742585.1_E_coli_k1_934_genomic
Escherichia_coli	GCA_000742595.1_E_coli_k1_939_genomic
Escherichia_coli	GCA_000742625.1_E_coli_k1_947_genomic
Escherichia_coli	GCA_000747505.1_O157_09BKT002497_454_genomic
Escherichia_coli	GCA_000754045.1_ASM75404v1_genomic
Escherichia_coli	GCA_000776495.1_ASM77649v1_genomic
Escherichia_coli	GCA_000776525.1_ASM77652v1_genomic
Escherichia_coli	GCA_000777055.1_ASM77705v1_genomic
Escherichia_coli	GCA_000777255.1_ASM77725v1_genomic
Escherichia_coli	GCA_000777315.1_ASM77731v1_genomic
Escherichia_coli	GCA_000777575.1_ASM77757v1_genomic
Escherichia_coli	GCA_000777715.1_ASM77771v1_genomic
Escherichia_coli	GCA_000777725.1_ASM77772v1_genomic
Escherichia_coli	GCA_000777925.1_ASM77792v1_genomic
